RecordTypeId,Field__c,Field_Label__c,New_Value__c,Object__c,Object_Label__c,Old_Value__c,Record_Id__c,Record_Name__c,Relation__c,User__c,Errors,Id
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofQAAR,Sparkasse Dieburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSkQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oe4AAB,Sparkasse Dortmund,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSlQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeMAAR,Sparkasse Gütersloh,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSmQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oewAAB,Sparkasse Dillenburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSnQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0of0AAB,Sparkasse Duderstadt,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSoQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odYAAR,Sparkasse Geseke,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSpQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofcAAB,Sparkasse Gladbeck,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSqQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeiAAB,Sparkasse Forchheim,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSrQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofbAAB,Sparkasse Gelsenkirchen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSsQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odxAAB,Sparkasse Freiburg-Nördlicher Breisgau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlStQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeSAAR,Sparkasse Germersheim-Kandel,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSuQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeUAAR,Sparkasse Hamm,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSvQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0o7NAAR,Sparkasse Hanau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSwQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ocoAAB,Sparkasse Hannover,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSxQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0of1AAB,Sparkasse Harburg-Buxtehude,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSyQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odqAAB,Sparkasse Kulmbach-Kronach,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSzQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofjAAB,Sparkasse Neu-Ulm - Illertissen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT0QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oekAAB,Sparkasse Pfaffenhofen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT1QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ogKAAR,Sparkasse Starkenburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT2QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odoAAB,Sparkasse Heidelberg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT3QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeKAAR,Sparkasse im Landkreis Schwandorf,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT4QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ogQAAR,Sparkasse Jena-Saale-Holzland,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT5QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odEAAR,Sparkasse Hohenlohekreis,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT6QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeAAAR,Sparkasse Leverkusen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT7QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeXAAR,Sparkasse Lippstadt,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT8QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odBAAR,Sparkasse Mainfranken Würzburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlT9QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0offAAB,Sparkasse Markgräflerland,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTAQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeoAAB,Sparkasse Ingolstadt,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTBQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeQAAR,Sparkasse Landsberg-Dießen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTCQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeIAAR,Sparkasse Lörrach-Rheinfelden,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTDQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odrAAB,Sparkasse Münsterland Ost,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTEQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0of7AAB,Sparkasse Karlsruhe,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTFQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeOAAR,Sparkasse Miltenberg-Obernburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTGQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0od1AAB,Sparkasse Pforzheim Calw,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTHQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oERAAZ,Sparkasse KölnBonn,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTIQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofeAAB,Sparkasse Mecklenburg-Schwerin,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTJQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofgAAB,Sparkasse Neuss,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTKQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofsAAB,Sparkasse Schweinfurt-Haßberge,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTLQAZ
